id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,94,-2.158273381294964,-3.0,136.0,139.0,138.25,136.0,1683005891483,01/JAN/1984,39001.5,284,7,710367840.0,0.0,138.0,0.0,284,7,0,2023-05-02 06:28:57.029762,2023-05-02
2065,ACCESS ENGINEERING PLC,AEL.N0000,9975,-4.109589041095891,-0.6,14.0,14.6,14.5,13.8,1683008781345,27/MAR/2012,3147895.5,223654,120,14600000000.0,0.0,14.5,0.0,223654,120,0,2023-05-02 06:28:57.029762,2023-05-02
472,ACL CABLES PLC,ACL.N0000,75,-3.5340314136125652,-2.7,73.7,76.4,76.7,73.0,1683008890052,01/JAN/1976,9538959.3,127491,199,18303508608.0,0.0,76.7,0.0,127491,199,0,2023-05-02 06:28:57.029762,2023-05-02
406,ACL PLASTICS PLC,APLA.N0000,1,-2.0833333333333335,-7.5,352.5,360.0,370.0,352.5,1683008899658,05/APR/1995,25298.5,70,9,1516500000.0,0.0,370.0,0.0,70,9,0,2023-05-02 06:28:57.029762,2023-05-02
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,799,-6.354515050167224,-1.9,28.0,29.9,30.0,28.0,1683006602427,22/JAN/1996,2332806.1,81453,88,4671875000.0,0.0,30.0,0.0,81453,88,0,2023-05-02 06:28:57.029762,2023-05-02
2026,AGSTAR PLC,AGST.N0000,2707,-1.7241379310344827,-0.2,11.4,11.6,11.9,11.4,1683008890275,16/FEB/2012,2447379.4,213896,78,5350957794.0,0.0,11.6,0.0,213896,78,2,2023-05-02 06:28:57.029762,2023-05-02
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,10,-4.033613445378151,-2.4,57.1,59.5,59.5,57.0,1683005563910,01/JAN/1980,30546.0,534,10,20009255595.0,0.0,59.5,0.0,534,10,0,2023-05-02 06:28:57.029762,2023-05-02
343,AITKEN SPENCE PLC,SPEN.N0000,4,-1.1111111111111112,-1.5,133.5,135.0,137.0,133.5,1683006393592,01/JAN/1983,137424.5,1008,14,54809466075.0,0.0,136.0,0.0,1008,14,0,2023-05-02 06:28:57.029762,2023-05-02
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,7,-2.050473186119874,-1.3,62.1,63.4,63.1,60.0,1683008870709,01/JAN/1959,1007291.0,16636,37,2136326400.0,0.0,63.1,0.0,16636,37,0,2023-05-02 06:28:57.029762,2023-05-02
3082,ALUMEX PLC,ALUM.N0000,30,-4.597701149425287,-0.4,8.3,8.7,8.6,8.3,1683008264329,31/MAR/2014,567980.0,67168,38,5207869416.0,0.0,8.6,0.0,67168,38,2,2023-05-02 06:28:57.029762,2023-05-02
3046,AMANA BANK PLC,ABL.N0000,8899,0.0,0.0,2.5,2.5,2.6,2.4,1683008208356,29/JAN/2014,1176990.0,476388,25,6959873777.5,0.0,2.5,0.0,476388,25,0,2023-05-02 06:28:57.029762,2023-05-02
2145,AMBEON CAPITAL PLC,TAP.N0000,200,-2.0833333333333335,-0.2,9.4,9.6,9.7,9.2,1683008793504,17/MAY/2012,888319.0,94122,36,9626158224.0,0.0,9.7,0.0,94122,36,3,2023-05-02 06:28:57.029762,2023-05-02
121,AMBEON HOLDINGS PLC,GREG.N0000,1,-1.1594202898550725,-0.4,34.1,34.5,34.1,34.1,1683005153354,01/JAN/1970,34.1,1,1,12312003477.0,0.0,34.1,0.0,1,1,2,2023-05-02 06:28:57.029762,2023-05-02
