id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
1845,ABANS FINANCE PLC,AFSL.N0000,50,2.2222222222222223,0.5,23.0,22.5,23.3,23.0,1682311096240,27/JUN/2011,1266.5,55,2,1658096347.5,0.0,23.3,0.0,55,2,3,2023-04-24 06:29:53.108151,2023-04-24
2065,ACCESS ENGINEERING PLC,AEL.N0000,941,1.342281879194631,0.2,15.1,14.9,15.3,15.0,1682317489643,27/MAR/2012,11761268.0,778658,193,14900000000.0,0.0,15.0,0.0,778658,193,0,2023-04-24 06:29:53.108151,2023-04-24
472,ACL CABLES PLC,ACL.N0000,10,-1.4851485148514851,-1.2,79.6,80.8,81.9,79.5,1682317708494,01/JAN/1976,4362107.5,54578,129,19357637376.0,0.0,80.5,0.0,54578,129,0,2023-04-24 06:29:53.108151,2023-04-24
406,ACL PLASTICS PLC,APLA.N0000,81,-4.017576898932831,-16.0,382.25,398.25,397.25,382.25,1682312972065,05/APR/1995,42941.5,112,11,1677628125.0,0.0,397.25,0.0,112,11,0,2023-04-24 06:29:53.108151,2023-04-24
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,10,0.0,0.0,6.6,6.6,6.6,6.6,1682308800190,01/JAN/1956,66.0,10,1,627000000.0,0.0,6.6,0.0,10,1,0,2023-04-24 06:29:53.108151,2023-04-24
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,111,-1.2987012987012987,-0.4,30.4,30.8,31.0,30.4,1682314803870,22/JAN/1996,149746.0,4903,18,4812500000.0,0.0,30.8,0.0,4903,18,0,2023-04-24 06:29:53.108151,2023-04-24
2026,AGSTAR PLC,AGST.N0000,100,-1.6260162601626016,-0.2,12.1,12.3,12.5,12.1,1682317253531,16/FEB/2012,943249.9,77303,22,5673860419.5,0.0,12.3,0.0,77303,22,2,2023-04-24 06:29:53.108151,2023-04-24
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,500,1.694915254237288,1.0,60.0,59.0,60.0,58.0,1682309201699,01/JAN/1980,44020.0,741,3,19841110590.0,0.0,58.0,0.0,741,3,0,2023-04-24 06:29:53.108151,2023-04-24
343,AITKEN SPENCE PLC,SPEN.N0000,1,-0.5639097744360902,-0.75,132.25,133.0,132.25,132.0,1682317724361,01/JAN/1983,443520.25,3360,6,53997473985.0,0.0,132.0,0.0,3360,6,0,2023-04-24 06:29:53.108151,2023-04-24
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,2,2.0123839009287927,1.3,65.9,64.6,66.0,65.0,1682317078189,01/JAN/1959,108195.8,1661,9,2176761600.0,0.0,66.0,0.0,1661,9,0,2023-04-24 06:29:53.108151,2023-04-24
3082,ALUMEX PLC,ALUM.N0000,830,0.0,0.0,8.9,8.9,9.0,8.8,1682317749554,31/MAR/2014,1953991.0,218477,40,5327590552.0,0.0,8.8,0.0,218477,40,2,2023-04-24 06:29:53.108151,2023-04-24
