id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,20,1.9933554817275747,3.0,153.5,150.5,154.0,153.0,1681975009906,01/JAN/1984,5829.5,38,5,769139280.0,0.0,153.0,0.0,38,5,0,2023-04-20 08:28:47.442183,2023-04-20
2065,ACCESS ENGINEERING PLC,AEL.N0000,20,2.0408163265306123,0.3,15.0,14.7,15.4,14.9,1681978796030,27/MAR/2012,28667603.0,1898054,501,14700000000.0,0.0,14.9,0.0,1898054,501,0,2023-04-20 08:28:47.442183,2023-04-20
472,ACL CABLES PLC,ACL.N0000,125,0.0,0.0,81.0,81.0,81.4,79.8,1681979174032,01/JAN/1976,13077211.6,163257,196,19405552320.0,0.0,80.6,0.0,163257,196,0,2023-04-20 08:28:47.442183,2023-04-20
406,ACL PLASTICS PLC,APLA.N0000,8,0.1953125,0.75,384.75,384.0,397.25,384.75,1681973303832,05/APR/1995,9724.5,25,10,1617600000.0,0.0,397.25,0.0,25,10,0,2023-04-20 08:28:47.442183,2023-04-20
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,400,0.0,0.0,6.7,6.7,6.7,6.5,1681978186270,01/JAN/1956,3005.0,450,2,636500000.0,0.0,6.5,0.0,450,2,0,2023-04-20 08:28:47.442183,2023-04-20
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,3,1.6286644951140066,0.5,31.2,30.7,31.4,30.6,1681978423665,22/JAN/1996,172975.9,5626,34,4796875000.0,0.0,30.7,0.0,5626,34,0,2023-04-20 08:28:47.442183,2023-04-20
2026,AGSTAR PLC,AGST.N0000,1000,0.8,0.1,12.6,12.5,12.9,12.5,1681976301972,16/FEB/2012,1236384.0,98659,57,5766118312.5,0.0,12.5,0.0,98659,57,2,2023-04-20 08:28:47.442183,2023-04-20
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,1,0.1669449081803005,0.1,60.0,59.9,60.0,60.0,1681972376170,01/JAN/1980,960.0,16,3,20143771599.0,0.0,60.0,0.0,16,3,0,2023-04-20 08:28:47.442183,2023-04-20
343,AITKEN SPENCE PLC,SPEN.N0000,1556,0.18975332068311196,0.25,132.0,131.75,133.5,131.5,1681977018733,01/JAN/1983,1973215.25,14936,16,53489978928.75,0.0,132.0,0.0,14936,16,0,2023-04-20 08:28:47.442183,2023-04-20
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,1050,1.2084592145015105,0.8,67.0,66.2,68.5,66.0,1681977768364,01/JAN/1959,190687.0,2850,15,2230675200.0,0.0,66.0,0.0,2850,15,0,2023-04-20 08:28:47.442183,2023-04-20
3082,ALUMEX PLC,ALUM.N0000,1,0.0,0.0,8.8,8.8,8.9,8.8,1681976965097,31/MAR/2014,3103978.8,352701,74,5267729984.0,0.0,8.8,0.0,352701,74,2,2023-04-20 08:28:47.442183,2023-04-20
3046,AMANA BANK PLC,ABL.N0000,30000,0.0,0.0,2.6,2.6,2.6,2.5,1681978311993,29/JAN/2014,615652.5,237772,51,7238268728.6,0.0,2.6,0.0,237772,51,0,2023-04-20 08:28:47.442183,2023-04-20
364,AMANA TAKAFUL PLC,ATL.N0000,12,0.9009009009009009,0.1,11.2,11.1,11.2,11.0,1681973401599,27/NOV/2006,24719.4,2247,6,2260300137.3,0.0,11.0,0.0,2247,6,2,2023-04-20 08:28:47.442183,2023-04-20
2145,AMBEON CAPITAL PLC,TAP.N0000,400,1.0416666666666667,0.1,9.7,9.6,9.9,9.5,1681975150721,17/MAY/2012,1449986.6,151816,44,9626158224.0,0.0,9.5,0.0,151816,44,3,2023-04-20 08:28:47.442183,2023-04-20
121,AMBEON HOLDINGS PLC,GREG.N0000,10,-0.2849002849002849,-0.1,35.0,35.1,35.0,34.1,1681972543450,01/JAN/1970,37428.1,1091,11,12526125276.6,0.0,34.1,0.0,1091,11,2,2023-04-20 08:28:47.442183,2023-04-20
3244,ARPICO INSURANCE PLC,AINS.N0000,100,9.289617486338798,1.7,20.0,18.3,20.9,20.0,1681977534517,16/JAN/2015,2438.9,121,3,1212016448.1,0.0,20.9,0.0,121,3,2,2023-04-20 08:28:47.442183,2023-04-20
2025,ASIA ASSET FINANCE PLC,AAF.N0000,2,5.063291139240507,0.4,8.3,7.9,8.3,8.2,1681978250249,12/JAN/2012,93250.6,11372,4,981144710.7,0.0,8.2,0.0,11372,4,0,2023-04-20 08:28:47.442183,2023-04-20
160,ASIA CAPITAL PLC,ACAP.N0000,980,-2.4390243902439024,-0.1,4.0,4.1,4.1,4.0,1681976075973,22/SEP/1994,4738.0,1180,5,538452979.5,0.0,4.1,0.0,1180,5,0,2023-04-20 08:28:47.442183,2023-04-20
2209,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1840,-2.5,-0.1,3.9,4.0,4.1,3.9,1681978601270,12/SEP/2012,92298.0,23120,11,1040000000.0,0.0,4.0,0.0,23120,11,2,2023-04-20 08:28:47.442183,2023-04-20
143,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,20,1.1764705882352942,0.5,43.0,42.5,43.8,43.0,1681974175383,30/JAN/2004,1334.8,31,3,18817950250.0,0.0,43.8,0.0,31,3,0,2023-04-20 08:28:47.442183,2023-04-20
240,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,5,0.7751937984496124,0.1,13.0,12.9,13.1,12.9,1681977790163,12/NOV/2004,792.6,61,8,6817102330.5,0.0,13.1,0.0,61,8,0,2023-04-20 08:28:47.442183,2023-04-20
225,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,1000,-3.2142857142857144,-0.9,27.1,28.0,28.0,27.0,1681977793850,01/JUN/1986,206216.7,7516,29,31850940688.0,0.0,27.8,0.0,7516,29,0,2023-04-20 08:28:47.442183,2023-04-20
1844,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,700,2.5316455696202533,0.2,8.1,7.9,8.1,7.7,1681978769212,23/JUN/2011,225673.5,29133,14,895285417.2,0.0,7.8,0.0,29133,14,2,2023-04-20 08:28:47.442183,2023-04-20
3794,B P P L HOLDINGS PLC,BPPL.N0000,15,0.0,0.0,21.5,21.5,21.5,21.1,1681975886283,04/APR/2017,343.6,16,2,6597132175.5,0.0,21.1,0.0,16,2,2,2023-04-20 08:28:47.442183,2023-04-20
188,BAIRAHA FARMS PLC,BFL.N0000,50,2.4263431542461005,3.5,147.75,144.25,149.5,144.25,1681978138931,05/DEC/1994,2424029.75,16793,27,2538800000.0,0.0,144.5,0.0,16793,27,0,2023-04-20 08:28:47.442183,2023-04-20
193,BALANGODA  PLANTATIONS  PLC,BALA.N0000,9,3.5031847133757963,2.2,65.0,62.8,65.0,63.0,1681972505755,03/JUN/1998,14355.0,227,3,2968727192.8,0.0,63.0,0.0,227,3,0,2023-04-20 08:28:47.442183,2023-04-20
3080,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,2,-11.304347826086957,-1.3,10.2,11.5,10.2,10.2,1681972081588,27/MAR/2014,20.4,2,1,617872000.0,0.0,10.2,0.0,2,1,2,2023-04-20 08:28:47.442183,2023-04-20
2188,BERUWALA RESORTS PLC,BERU.N0000,200000,0.0,0.0,1.5,1.5,1.5,1.5,1681963200172,04/JUL/2012,300000.0,200000,1,900000000.0,0.0,1.5,0.0,200000,1,2,2023-04-20 08:28:47.442183,2023-04-20
135,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,300,-11.11111111111111,-0.1,0.8,0.9,0.9,0.8,1681978818168,31/MAR/1992,24810.0,27861,46,265141603.8,0.0,0.9,0.0,27861,46,0,2023-04-20 08:28:47.442183,2023-04-20
301,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,223,0.0,0.0,0.3,0.3,0.4,0.3,1681978190421,31/MAR/1992,170740.3,548657,38,58390086.9,0.0,0.4,0.0,548657,38,0,2023-04-20 08:28:47.442183,2023-04-20
189,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,10,0.7936507936507936,0.5,63.5,63.0,64.8,63.0,1681978441754,08/MAY/1992,15036.4,233,9,5961872952.0,0.0,63.0,0.0,233,9,2,2023-04-20 08:28:47.442183,2023-04-20
34,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,10,0.7263922518159807,0.3,41.6,41.3,41.6,41.6,1681969349126,08/DEC/1995,416.0,10,1,3458875000.0,0.0,41.6,0.0,10,1,2,2023-04-20 08:28:47.442183,2023-04-20
25,BROWN & COMPANY PLC,BRWN.N0000,924,0.8695652173913043,1.0,116.0,115.0,117.0,116.0,1681976281555,25/APR/1991,437958.0,3764,26,24451875000.0,0.0,117.0,0.0,3764,26,2,2023-04-20 08:28:47.442183,2023-04-20
128,BROWNS BEACH HOTELS PLC,BBH.N0000,5,0.7936507936507936,0.1,12.7,12.6,13.0,12.6,1681972459187,22/FEB/1993,78506.0,6040,10,1632960000.0,0.0,13.0,0.0,6040,10,3,2023-04-20 08:28:47.442183,2023-04-20
1851,BROWNS INVESTMENTS PLC,BIL.N0000,130,0.0,0.0,5.9,5.9,6.0,5.9,1681979168980,26/JUL/2011,22219710.5,3762295,446,84781333014.0,0.0,5.9,0.0,3762295,446,2,2023-04-20 08:28:47.442183,2023-04-20
165,BUKIT DARAH PLC,BUKI.N0000,3,-1.794871794871795,-7.0,383.0,390.0,390.0,383.0,1681968046703,01/JAN/1970,1922.25,5,3,39780000000.0,0.0,390.0,0.0,5,3,0,2023-04-20 08:28:47.442183,2023-04-20
