id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
1845,ABANS FINANCE PLC,AFSL.N0000,1385,0.0,0.0,22.5,22.5,22.5,22.5,1681878827747,27/JUN/2011,31500.0,1400,2,1658096347.5,0.0,22.5,0.0,1400,2,3,2023-04-19 05:26:03.560738,2023-04-19
2065,ACCESS ENGINEERING PLC,AEL.N0000,10,-1.342281879194631,-0.2,14.7,14.9,15.0,14.7,1681881831471,27/MAR/2012,426476.9,29012,10,14900000000.0,0.0,14.7,0.0,29012,10,0,2023-04-19 05:26:03.560738,2023-04-19
472,ACL CABLES PLC,ACL.N0000,100,-0.12239902080783353,-0.1,81.6,81.7,83.0,81.6,1681881474544,01/JAN/1976,60822.6,743,9,19573254624.0,0.0,83.0,0.0,743,9,0,2023-04-19 05:26:03.560738,2023-04-19
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,50,0.9771986970684039,0.3,31.0,30.7,31.0,31.0,1681877017647,22/JAN/1996,1550.0,50,1,4796875000.0,0.0,31.0,0.0,50,1,0,2023-04-19 05:26:03.560738,2023-04-19
2026,AGSTAR PLC,AGST.N0000,245,-1.5384615384615385,-0.2,12.8,13.0,13.0,12.8,1681881835738,16/FEB/2012,492296.2,38005,18,5996763045.0,0.0,13.0,0.0,38005,18,2,2023-04-19 05:26:03.560738,2023-04-19
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,100,-0.6779661016949152,-0.4,58.6,59.0,58.6,58.1,1681879326330,01/JAN/1980,61786.0,1060,7,19841110590.0,0.0,58.6,0.0,1060,7,0,2023-04-19 05:26:03.560738,2023-04-19
343,AITKEN SPENCE PLC,SPEN.N0000,1000,2.111324376199616,2.75,133.0,130.25,133.0,132.0,1681881089335,01/JAN/1983,3445248.0,26089,4,52880984861.25,0.0,132.0,0.0,26089,4,0,2023-04-19 05:26:03.560738,2023-04-19
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,60,-2.616279069767442,-1.8,67.0,68.8,67.1,67.0,1681881284381,01/JAN/1959,67001.0,1000,7,2318284800.0,0.0,67.1,0.0,1000,7,0,2023-04-19 05:26:03.560738,2023-04-19
3082,ALUMEX PLC,ALUM.N0000,2775,1.1363636363636365,0.1,8.9,8.8,8.9,8.8,1681881138365,31/MAR/2014,505691.7,57432,14,5267729984.0,0.0,8.8,0.0,57432,14,2,2023-04-19 05:26:03.560738,2023-04-19
3046,AMANA BANK PLC,ABL.N0000,98,-3.7037037037037037,-0.1,2.6,2.7,2.6,2.6,1681880653900,29/JAN/2014,37055.2,14252,6,7516663679.7,0.0,2.6,0.0,14252,6,0,2023-04-19 05:26:03.560738,2023-04-19
364,AMANA TAKAFUL PLC,ATL.N0000,1500,0.0,0.0,11.3,11.3,11.3,11.3,1681880379390,27/NOV/2006,20057.5,1775,3,2301026265.9,0.0,11.3,0.0,1775,3,2,2023-04-19 05:26:03.560738,2023-04-19
2145,AMBEON CAPITAL PLC,TAP.N0000,2,0.0,0.0,9.7,9.7,9.9,9.6,1681881553972,17/MAY/2012,1202896.7,125252,18,9726430705.5,0.0,9.9,0.0,125252,18,3,2023-04-19 05:26:03.560738,2023-04-19
2025,ASIA ASSET FINANCE PLC,AAF.N0000,5,-2.4691358024691357,-0.2,7.9,8.1,7.9,7.9,1681880512539,12/JAN/2012,39.5,5,1,1005983817.3,0.0,7.9,0.0,5,1,0,2023-04-19 05:26:03.560738,2023-04-19
160,ASIA CAPITAL PLC,ACAP.N0000,38,-4.878048780487805,-0.2,3.9,4.1,3.9,3.9,1681881509120,22/SEP/1994,152.1,39,2,538452979.5,0.0,3.9,0.0,39,2,0,2023-04-19 05:26:03.560738,2023-04-19
2209,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,650,-2.4390243902439024,-0.1,4.0,4.1,4.0,4.0,1681881532610,12/SEP/2012,8484.0,2121,8,1066000000.0,0.0,4.0,0.0,2121,8,2,2023-04-19 05:26:03.560738,2023-04-19
143,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,10,3.0588235294117645,1.3,43.8,42.5,43.8,43.0,1681878848295,30/JAN/2004,868.0,20,2,18817950250.0,0.0,43.0,0.0,20,2,0,2023-04-19 05:26:03.560738,2023-04-19
240,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,1,1.5267175572519085,0.2,13.3,13.1,13.3,13.1,1681878506785,12/NOV/2004,13113.3,1001,2,6922793839.5,0.0,13.1,0.0,1001,2,0,2023-04-19 05:26:03.560738,2023-04-19
225,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,95,-0.7092198581560284,-0.2,28.0,28.2,28.6,28.0,1681879712606,01/JUN/1986,400300.0,14045,22,32078447407.2,0.0,28.6,0.0,14045,22,0,2023-04-19 05:26:03.560738,2023-04-19
1844,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,5,5.194805194805195,0.4,8.1,7.7,8.1,8.1,1681877738477,23/JUN/2011,40.5,5,1,872619963.6,0.0,8.1,0.0,5,1,2,2023-04-19 05:26:03.560738,2023-04-19
188,BAIRAHA FARMS PLC,BFL.N0000,1,2.4054982817869415,3.5,149.0,145.5,150.0,149.0,1681880302786,05/DEC/1994,299.0,2,2,2560800000.0,0.0,150.0,0.0,2,2,0,2023-04-19 05:26:03.560738,2023-04-19
