id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
2065,ACCESS ENGINEERING PLC,AEL.N0000,7,8.0,1.2,16.2,15.0,16.5,15.2,1679290433536,27/MAR/2012,51313351.5,3205996,503,15000000000.0,0.0,15.2,0.0,3205996,503,0,2023-03-20 05:27:02.561370,2023-03-20
472,ACL CABLES PLC,ACL.N0000,250,0.5813953488372093,0.5,86.5,86.0,87.8,86.0,1679290646790,01/JAN/1976,5326009.4,61545,81,20603425920.0,0.0,86.0,0.0,61545,81,0,2023-03-20 05:27:02.561370,2023-03-20
406,ACL PLASTICS PLC,APLA.N0000,2,0.7371007371007371,3.0,410.0,407.0,414.75,410.0,1679290025369,05/APR/1995,1234.75,3,2,1714487500.0,0.0,414.75,0.0,3,2,0,2023-03-20 05:27:02.561370,2023-03-20
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,500,1.5151515151515151,0.1,6.7,6.6,6.8,6.7,1679288047269,01/JAN/1956,338472.4,50518,4,627000000.0,0.0,6.8,0.0,50518,4,0,2023-03-20 05:27:02.561370,2023-03-20
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,100,1.2461059190031152,0.4,32.5,32.1,32.5,32.0,1679288907616,22/JAN/1996,292629.2,9014,18,5015625000.0,0.0,32.0,0.0,9014,18,0,2023-03-20 05:27:02.561370,2023-03-20
2026,AGSTAR PLC,AGST.N0000,10000,2.4,0.3,12.8,12.5,12.9,12.5,1679290787559,16/FEB/2012,1982797.8,155223,64,5766118312.5,0.0,12.5,0.0,155223,64,2,2023-03-20 05:27:02.561370,2023-03-20
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,10,0.33444816053511706,0.2,60.0,59.8,60.0,60.0,1679289645768,01/JAN/1980,1560480.0,26008,7,20110142598.0,0.0,60.0,0.0,26008,7,0,2023-03-20 05:27:02.561370,2023-03-20
343,AITKEN SPENCE PLC,SPEN.N0000,200,0.7299270072992701,1.0,138.0,137.0,138.0,137.0,1679287627785,01/JAN/1983,84286.0,612,4,55621458165.0,0.0,137.0,0.0,612,4,0,2023-03-20 05:27:02.561370,2023-03-20
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,20,1.199400299850075,0.8,67.5,66.7,67.7,66.3,1679290533738,01/JAN/1959,2159.0,32,4,2247523200.0,0.0,67.7,0.0,32,4,0,2023-03-20 05:27:02.561370,2023-03-20
3082,ALUMEX PLC,ALUM.N0000,1000,1.1235955056179776,0.1,9.0,8.9,9.1,8.8,1679290638010,31/MAR/2014,5946207.7,661697,47,5327590552.0,0.0,9.0,0.0,661697,47,2,2023-03-20 05:27:02.561370,2023-03-20
