id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,20,0.0,0.0,137.5,137.5,137.5,137.5,1684137318754,01/JAN/1984,8525.0,62,4,702702000.0,0.0,137.5,137.5,62,4,0,2023-05-15 09:23:38.353382,2023-05-15
2065,ACCESS ENGINEERING PLC,AEL.N0000,1000,1.4388489208633093,0.2,14.1,13.9,14.2,13.9,1684141133545,27/MAR/2012,3937265.8,281179,67,14100000000.0,0.0,14.0,14.1,281179,67,0,2023-05-15 09:23:38.353382,2023-05-15
472,ACL CABLES PLC,ACL.N0000,2,-1.9047619047619047,-1.4,72.1,73.5,75.5,71.8,1684141192714,01/JAN/1976,10316498.5,141562,212,17273337312.0,0.0,73.5,72.1,141562,212,0,2023-05-15 09:23:38.353382,2023-05-15
406,ACL PLASTICS PLC,APLA.N0000,5,-1.5027322404371584,-5.5,360.5,366.0,364.25,360.0,1684136073881,05/APR/1995,281361.0,780,20,1518606250.0,0.0,364.25,360.5,780,20,0,2023-05-15 09:23:38.353382,2023-05-15
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,1,0.0,0.0,6.2,6.2,6.2,6.1,1684135249779,01/JAN/1956,15636.3,2522,3,589000000.0,0.0,6.2,6.2,2522,3,0,2023-05-15 09:23:38.353382,2023-05-15
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,500,-1.639344262295082,-0.5,30.0,30.5,30.8,30.0,1684141186385,22/JAN/1996,396383.1,13186,36,4687500000.0,0.0,30.5,30.0,13186,36,0,2023-05-15 09:23:38.353382,2023-05-15
2026,AGSTAR PLC,AGST.N0000,1,-1.7699115044247788,-0.2,11.1,11.3,11.6,11.0,1684141165053,16/FEB/2012,2127251.8,189617,87,5120313061.5,0.0,11.3,11.1,189617,87,2,2023-05-15 09:23:38.353382,2023-05-15
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,20,0.0,0.0,58.9,58.9,56.0,56.0,1684130024781,01/JAN/1980,1120.0,20,1,19807481589.0,0.0,56.0,58.9,20,1,0,2023-05-15 09:23:38.353382,2023-05-15
343,AITKEN SPENCE PLC,SPEN.N0000,54,0.0,0.0,127.25,127.25,129.25,127.0,1684138981653,01/JAN/1983,964693.5,7582,18,51662996726.25,0.0,128.0,127.25,7582,18,0,2023-05-15 09:23:38.353382,2023-05-15
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,1,2.31023102310231,1.4,62.0,60.6,65.5,60.5,1684137220889,01/JAN/1959,1191179.5,19539,39,2089152000.0,0.0,60.6,62.0,19539,39,0,2023-05-15 09:23:38.353382,2023-05-15
3082,ALUMEX PLC,ALUM.N0000,9187,0.0,0.0,8.1,8.1,8.5,8.0,1684139265885,31/MAR/2014,307472.0,38137,19,4848706008.0,0.0,8.0,8.1,38137,19,2,2023-05-15 09:23:38.353382,2023-05-15
3046,AMANA BANK PLC,ABL.N0000,260,-4.0,-0.1,2.4,2.5,2.6,2.4,1684141006677,29/JAN/2014,1276431.2,510773,79,6681478826.4,0.0,2.5,2.4,510773,79,0,2023-05-15 09:23:38.353382,2023-05-15
364,AMANA TAKAFUL PLC,ATL.N0000,1,-1.7699115044247788,-0.2,11.1,11.3,12.0,11.0,1684135806279,27/NOV/2006,56498.8,5101,5,2260300137.3,0.0,11.2,11.1,5101,5,2,2023-05-15 09:23:38.353382,2023-05-15
3575,AMANA TAKAFUL LIFE PLC,ATLL.N0000,1,0.0,0.0,30.1,30.1,29.0,29.0,1684123620354,18/AUG/2016,29.0,1,1,1505000000.0,0.0,29.0,30.1,1,1,2,2023-05-15 09:23:38.353382,2023-05-15
2145,AMBEON CAPITAL PLC,TAP.N0000,1800,-2.150537634408602,-0.2,9.1,9.3,9.4,9.0,1684141162345,17/MAY/2012,1387523.6,152520,67,9124795816.5,0.0,9.3,9.1,152520,67,3,2023-05-15 09:23:38.353382,2023-05-15
121,AMBEON HOLDINGS PLC,GREG.N0000,1000,-4.225352112676056,-1.5,34.0,35.5,34.1,34.0,1684129310570,01/JAN/1970,62905.0,1850,4,12133568644.0,0.0,34.1,34.0,1850,4,2,2023-05-15 09:23:38.353382,2023-05-15
160,ASIA CAPITAL PLC,ACAP.N0000,10,2.6315789473684212,0.1,3.9,3.8,3.9,3.6,1684135649916,22/SEP/1994,4408.6,1131,7,512186980.5,0.0,3.9,3.9,1131,7,0,2023-05-15 09:23:38.353382,2023-05-15
2209,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,18669,0.0,0.0,4.0,4.0,4.0,3.8,1684140039323,12/SEP/2012,367686.0,92705,20,1040000000.0,0.0,3.9,4.0,92705,20,2,2023-05-15 09:23:38.353382,2023-05-15
