id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,9,5.273069679849341,7.0,139.75,132.75,139.75,132.25,1681277046856,01/JAN/1984,56034.25,412,9,678426840.0,0.0,132.25,0.0,412,9,0,2023-04-12 05:25:13.979132,2023-04-12
1845,ABANS FINANCE PLC,AFSL.N0000,21,-2.1367521367521367,-0.5,22.9,23.4,23.2,22.8,1681277040928,27/JUN/2011,16438.1,717,5,1724420201.4,0.0,23.2,0.0,717,5,3,2023-04-12 05:25:13.979132,2023-04-12
2065,ACCESS ENGINEERING PLC,AEL.N0000,300,-0.6944444444444444,-0.1,14.3,14.4,14.5,14.0,1681276746636,27/MAR/2012,440268.3,31049,31,14400000000.0,0.0,14.5,0.0,31049,31,0,2023-04-12 05:25:13.979132,2023-04-12
472,ACL CABLES PLC,ACL.N0000,50,-0.5952380952380952,-0.5,83.5,84.0,84.0,83.0,1681276954382,01/JAN/1976,1457086.9,17507,28,20124276480.0,0.0,84.0,0.0,17507,28,0,2023-04-12 05:25:13.979132,2023-04-12
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,10,1.5151515151515151,0.1,6.7,6.6,6.7,6.7,1681272000172,01/JAN/1956,67.0,10,1,627000000.0,0.0,6.7,0.0,10,1,0,2023-04-12 05:25:13.979132,2023-04-12
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,100,-0.3115264797507788,-0.1,32.0,32.1,32.5,32.0,1681276888223,22/JAN/1996,28065.0,876,9,5015625000.0,0.0,32.5,0.0,876,9,0,2023-04-12 05:25:13.979132,2023-04-12
2026,AGSTAR PLC,AGST.N0000,1200,3.90625,0.5,13.3,12.8,13.5,12.7,1681277000392,16/FEB/2012,18938645.2,1459433,220,5904505152.0,0.0,12.8,0.0,1459433,220,2,2023-04-12 05:25:13.979132,2023-04-12
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,206,0.0,0.0,59.0,59.0,59.5,59.0,1681276168239,01/JAN/1980,23741682.2,399858,37,19841110590.0,0.0,59.2,0.0,399858,37,0,2023-04-12 05:25:13.979132,2023-04-12
343,AITKEN SPENCE PLC,SPEN.N0000,3000,0.0,0.0,127.0,127.0,128.0,127.0,1681276385116,01/JAN/1983,9423529.0,74201,18,51561497715.0,0.0,127.0,0.0,74201,18,0,2023-04-12 05:25:13.979132,2023-04-12
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,2000,2.3391812865497075,1.6,70.0,68.4,70.9,69.0,1681276340307,01/JAN/1959,526632.8,7526,14,2304806400.0,0.0,70.3,0.0,7526,14,0,2023-04-12 05:25:13.979132,2023-04-12
3082,ALUMEX PLC,ALUM.N0000,100,1.1235955056179776,0.1,9.0,8.9,9.1,8.8,1681277101880,31/MAR/2014,2711372.6,301887,61,5327590552.0,0.0,8.9,0.0,301887,61,2,2023-04-12 05:25:13.979132,2023-04-12
3046,AMANA BANK PLC,ABL.N0000,5670,0.0,0.0,2.6,2.6,2.7,2.6,1681274849574,29/JAN/2014,1047760.0,402900,23,7238268728.6,0.0,2.6,0.0,402900,23,0,2023-04-12 05:25:13.979132,2023-04-12
364,AMANA TAKAFUL PLC,ATL.N0000,1,4.3478260869565215,0.5,12.0,11.5,12.0,12.0,1681274123485,27/NOV/2006,12.0,1,1,2341752394.5,0.0,12.0,0.0,1,1,2,2023-04-12 05:25:13.979132,2023-04-12
2145,AMBEON CAPITAL PLC,TAP.N0000,5,2.0202020202020203,0.2,10.1,9.9,10.1,10.0,1681277048399,17/MAY/2012,586986.6,58691,36,9926975668.5,0.0,10.0,0.0,58691,36,3,2023-04-12 05:25:13.979132,2023-04-12
121,AMBEON HOLDINGS PLC,GREG.N0000,950,-2.203856749311295,-0.8,35.5,36.3,36.7,35.5,1681276826429,01/JAN/1970,71233.5,2005,4,12954368875.8,0.0,36.7,0.0,2005,4,2,2023-04-12 05:25:13.979132,2023-04-12
2025,ASIA ASSET FINANCE PLC,AAF.N0000,10,2.4691358024691357,0.2,8.3,8.1,8.3,7.8,1681273566137,12/JAN/2012,322.0,40,3,1005983817.3,0.0,8.3,0.0,40,3,0,2023-04-12 05:25:13.979132,2023-04-12
2209,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,2,0.0,0.0,4.1,4.1,4.1,4.0,1681275671331,12/SEP/2012,29546.4,7234,6,1066000000.0,0.0,4.1,0.0,7234,6,2,2023-04-12 05:25:13.979132,2023-04-12
