id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
1845,ABANS FINANCE PLC,AFSL.N0000,20,-11.290322580645162,-2.8,22.0,24.8,22.0,22.0,1678944662025,27/JUN/2011,440.0,20,1,1827590640.8,0.0,22.0,0.0,20,1,3,2023-03-16 06:31:35.583473,2023-03-16
2065,ACCESS ENGINEERING PLC,AEL.N0000,410,4.081632653061225,0.6,15.3,14.7,15.9,14.6,1678948550276,27/MAR/2012,54827682.3,3598257,727,14700000000.0,0.0,14.7,0.0,3598257,727,0,2023-03-16 06:31:35.583473,2023-03-16
472,ACL CABLES PLC,ACL.N0000,21,-2.2988505747126435,-2.0,85.0,87.0,87.5,85.0,1678948524326,01/JAN/1976,8764589.2,102366,189,20843000640.0,0.0,87.2,0.0,102366,189,0,2023-03-16 06:31:35.583473,2023-03-16
406,ACL PLASTICS PLC,APLA.N0000,12,-0.1218026796589525,-0.5,410.0,410.5,424.75,410.0,1678945570099,05/APR/1995,110058.5,268,11,1729231250.0,0.0,424.75,0.0,268,11,0,2023-03-16 06:31:35.583473,2023-03-16
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,9,0.0,0.0,6.6,6.6,6.6,6.6,1678946937356,01/JAN/1956,59.4,9,1,627000000.0,0.0,6.6,0.0,9,1,0,2023-03-16 06:31:35.583473,2023-03-16
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,4835,1.3114754098360655,0.4,30.9,30.5,31.8,30.9,1678948671250,22/JAN/1996,788348.9,25430,33,4765625000.0,0.0,31.4,0.0,25430,33,0,2023-03-16 06:31:35.583473,2023-03-16
2026,AGSTAR PLC,AGST.N0000,4580,0.0,0.0,12.5,12.5,12.8,12.5,1678947587074,16/FEB/2012,1889091.4,150300,82,5766118312.5,0.0,12.8,0.0,150300,82,2,2023-03-16 06:31:35.583473,2023-03-16
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,60,-4.132231404958677,-2.5,58.0,60.5,60.0,58.0,1678947352977,01/JAN/1980,5263232.5,87772,35,20345545605.0,0.0,60.0,0.0,87772,35,0,2023-03-16 06:31:35.583473,2023-03-16
343,AITKEN SPENCE PLC,SPEN.N0000,300,0.18587360594795538,0.25,134.75,134.5,138.0,134.75,1678947176400,01/JAN/1983,135072.75,1002,5,54606468052.5,0.0,138.0,0.0,1002,5,0,2023-03-16 06:31:35.583473,2023-03-16
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,25,2.272727272727273,1.5,67.5,66.0,67.8,67.0,1678947829496,01/JAN/1959,69225.6,1026,12,2223936000.0,0.0,67.7,0.0,1026,12,0,2023-03-16 06:31:35.583473,2023-03-16
3082,ALUMEX PLC,ALUM.N0000,5000,0.0,0.0,8.7,8.7,8.8,8.5,1678948359409,31/MAR/2014,2369854.2,270588,48,5207869416.0,0.0,8.7,0.0,270588,48,2,2023-03-16 06:31:35.583473,2023-03-16
3046,AMANA BANK PLC,ABL.N0000,2039,3.8461538461538463,0.1,2.7,2.6,2.8,2.7,1678948327464,29/JAN/2014,1275925.5,472425,62,7238268728.6,0.0,2.7,0.0,472425,62,0,2023-03-16 06:31:35.583473,2023-03-16
2145,AMBEON CAPITAL PLC,TAP.N0000,400,1.0309278350515463,0.1,9.8,9.7,10.0,9.6,1678947700362,17/MAY/2012,54015.1,5593,19,9726430705.5,0.0,9.7,0.0,5593,19,3,2023-03-16 06:31:35.583473,2023-03-16
3244,ARPICO INSURANCE PLC,AINS.N0000,1,-0.49019607843137253,-0.1,20.3,20.4,20.3,20.3,1678943915162,16/JAN/2015,20.3,1,1,1351100302.8,0.0,20.3,0.0,1,1,2,2023-03-16 06:31:35.583473,2023-03-16
2025,ASIA ASSET FINANCE PLC,AAF.N0000,100,5.128205128205129,0.4,8.2,7.8,8.2,8.2,1678945406563,12/JAN/2012,820.0,100,1,968725157.4,0.0,8.2,0.0,100,1,0,2023-03-16 06:31:35.583473,2023-03-16
160,ASIA CAPITAL PLC,ACAP.N0000,200,5.0,0.2,4.2,4.0,4.2,4.2,1678944544987,22/SEP/1994,5922.0,1410,4,525319980.0,0.0,4.2,0.0,1410,4,0,2023-03-16 06:31:35.583473,2023-03-16
2209,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,160,0.0,0.0,4.2,4.2,4.3,4.2,1678947328754,12/SEP/2012,63373.5,15065,10,1092000000.0,0.0,4.2,0.0,15065,10,2,2023-03-16 06:31:35.583473,2023-03-16
143,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,20,0.0,0.0,40.0,40.0,40.0,40.0,1678948658392,30/JAN/2004,1600.0,40,2,17711012000.0,0.0,40.0,0.0,40,2,0,2023-03-16 06:31:35.583473,2023-03-16
240,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,84,0.0,0.0,12.5,12.5,12.5,12.4,1678947588887,12/NOV/2004,5227.5,419,8,6605719312.5,0.0,12.5,0.0,419,8,0,2023-03-16 06:31:35.583473,2023-03-16
225,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,173,-1.5384615384615385,-0.4,25.6,26.0,26.8,25.6,1678948635983,01/JUN/1986,8653.2,333,9,29575873496.0,0.0,26.8,0.0,333,9,0,2023-03-16 06:31:35.583473,2023-03-16
1844,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,5,5.2631578947368425,0.4,8.0,7.6,8.0,7.9,1678946116867,23/JUN/2011,11890.0,1505,5,861287236.8,0.0,7.9,0.0,1505,5,2,2023-03-16 06:31:35.583473,2023-03-16
3794,B P P L HOLDINGS PLC,BPPL.N0000,1,0.4830917874396135,0.1,20.8,20.7,20.8,20.8,1678946682300,04/APR/2017,20.8,1,1,6351657489.9,0.0,20.8,0.0,1,1,2,2023-03-16 06:31:35.583473,2023-03-16
188,BAIRAHA FARMS PLC,BFL.N0000,1000,3.492063492063492,5.5,163.0,157.5,169.75,160.0,1678947844122,05/DEC/1994,1091365.5,6622,26,2772000000.0,0.0,160.0,0.0,6622,26,0,2023-03-16 06:31:35.583473,2023-03-16
193,BALANGODA  PLANTATIONS  PLC,BALA.N0000,10,5.9375,3.8,67.8,64.0,69.5,62.0,1678948381108,03/JUN/1998,1018734.7,15421,56,3025454464.0,0.0,64.8,0.0,15421,56,0,2023-03-16 06:31:35.583473,2023-03-16
2188,BERUWALA RESORTS PLC,BERU.N0000,5,0.0,0.0,1.4,1.4,1.4,1.4,1678948288102,04/JUL/2012,505.4,361,7,840000000.0,0.0,1.4,0.0,361,7,2,2023-03-16 06:31:35.583473,2023-03-16
189,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,10,-1.6717325227963526,-1.1,64.7,65.8,65.4,63.2,1678946071359,08/MAY/1992,129739.0,2020,15,6226845083.2,0.0,65.0,0.0,2020,15,2,2023-03-16 06:31:35.583473,2023-03-16
34,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,13,5.034324942791762,2.2,45.9,43.7,45.9,44.8,1678942782238,08/DEC/1995,29250.0,650,8,3659875000.0,0.0,44.8,0.0,650,8,2,2023-03-16 06:31:35.583473,2023-03-16
