id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,5,-0.3663003663003663,-0.5,136.0,136.5,149.0,136.0,1683087917337,01/JAN/1984,1425.0,10,3,697591440.0,0.0,149.0,0.0,10,3,0,2023-05-03 04:27:54.695572,2023-05-03
2065,ACCESS ENGINEERING PLC,AEL.N0000,1,5.147058823529412,0.7,14.3,13.6,14.3,13.6,1683087247087,27/MAR/2012,163022.7,11674,9,13600000000.0,0.0,13.6,0.0,11674,9,0,2023-05-03 04:27:54.695572,2023-05-03
472,ACL CABLES PLC,ACL.N0000,133,1.9073569482288828,1.4,74.8,73.4,75.0,73.9,1683087952098,01/JAN/1976,379041.5,5062,23,17584784448.0,0.0,73.9,0.0,5062,23,0,2023-05-03 04:27:54.695572,2023-05-03
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,500,4.98220640569395,1.4,29.5,28.1,29.5,29.4,1683088025629,22/JAN/1996,54498.8,1852,5,4390625000.0,0.0,29.4,0.0,1852,5,0,2023-05-03 04:27:54.695572,2023-05-03
2026,AGSTAR PLC,AGST.N0000,1,2.6548672566371683,0.3,11.6,11.3,11.6,11.3,1683087861398,16/FEB/2012,57.1,5,3,5212570954.5,0.0,11.6,0.0,5,3,2,2023-05-03 04:27:54.695572,2023-05-03
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,1,7.9866888519134775,4.8,64.9,60.1,64.9,62.8,1683087514631,01/JAN/1959,127976.5,2035,11,2025129600.0,0.0,62.8,0.0,2035,11,0,2023-05-03 04:27:54.695572,2023-05-03
3082,ALUMEX PLC,ALUM.N0000,2994,-1.2048192771084338,-0.1,8.2,8.3,8.2,8.2,1683086549433,31/MAR/2014,41000.0,5000,2,4968427144.0,0.0,8.2,0.0,5000,2,2,2023-05-03 04:27:54.695572,2023-05-03
3046,AMANA BANK PLC,ABL.N0000,15000,0.0,0.0,2.5,2.5,2.5,2.4,1683087837304,29/JAN/2014,558992.8,224372,27,6959873777.5,0.0,2.5,0.0,224372,27,0,2023-05-03 04:27:54.695572,2023-05-03
2145,AMBEON CAPITAL PLC,TAP.N0000,1,3.225806451612903,0.3,9.6,9.3,9.6,9.4,1683086725270,17/MAY/2012,131.8,14,2,9325340779.5,0.0,9.4,0.0,14,2,3,2023-05-03 04:27:54.695572,2023-05-03
2025,ASIA ASSET FINANCE PLC,AAF.N0000,10,0.0,0.0,8.5,8.5,8.5,8.5,1683087925820,12/JAN/2012,85.0,10,1,1055662030.5,0.0,8.5,0.0,10,1,0,2023-05-03 04:27:54.695572,2023-05-03
