id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,1,0.0,0.0,138.0,138.0,138.0,138.0,1683698100869,01/JAN/1984,1380.0,10,4,705257280.0,0.0,138.0,0.0,10,4,0,2023-05-10 06:28:20.841705,2023-05-10
2065,ACCESS ENGINEERING PLC,AEL.N0000,100,1.4388489208633093,0.2,14.1,13.9,14.2,13.8,1683700077515,27/MAR/2012,4868366.3,348389,60,13900000000.0,0.0,14.2,0.0,348389,60,0,2023-05-10 06:28:20.841705,2023-05-10
472,ACL CABLES PLC,ACL.N0000,2000,-1.193633952254642,-0.9,74.5,75.4,77.0,74.5,1683699740270,01/JAN/1976,2177317.3,29059,41,18063933888.0,0.0,77.0,0.0,29059,41,0,2023-05-10 06:28:20.841705,2023-05-10
406,ACL PLASTICS PLC,APLA.N0000,14,4.3478260869565215,15.75,378.0,362.25,378.0,377.75,1683692108998,05/APR/1995,5669.75,15,2,1525978125.0,0.0,377.75,0.0,15,2,0,2023-05-10 06:28:20.841705,2023-05-10
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,40,0.3401360544217687,0.1,29.5,29.4,29.9,29.5,1683699659294,22/JAN/1996,618741.9,20721,13,4593750000.0,0.0,29.9,0.0,20721,13,0,2023-05-10 06:28:20.841705,2023-05-10
2026,AGSTAR PLC,AGST.N0000,3210,0.8547008547008547,0.1,11.8,11.7,11.9,11.5,1683699824053,16/FEB/2012,210302.2,17990,26,5397086740.5,0.0,11.9,0.0,17990,26,2,2023-05-10 06:28:20.841705,2023-05-10
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,10,0.676818950930626,0.4,59.5,59.1,59.5,59.5,1683692753647,01/JAN/1980,595.0,10,1,19874739591.0,0.0,59.5,0.0,10,1,0,2023-05-10 06:28:20.841705,2023-05-10
343,AITKEN SPENCE PLC,SPEN.N0000,3,0.0,0.0,129.25,129.25,129.25,129.25,1683691200188,01/JAN/1983,387.75,3,1,52474988816.25,0.0,129.25,0.0,3,1,0,2023-05-10 06:28:20.841705,2023-05-10
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,1999,-0.4893964110929853,-0.3,61.0,61.3,61.0,60.4,1683697415655,01/JAN/1959,328298.3,5411,16,2065564800.0,0.0,60.7,0.0,5411,16,0,2023-05-10 06:28:20.841705,2023-05-10
3082,ALUMEX PLC,ALUM.N0000,500,0.0,0.0,8.3,8.3,8.3,8.3,1683699510883,31/MAR/2014,87150.0,10500,4,4968427144.0,0.0,8.3,0.0,10500,4,2,2023-05-10 06:28:20.841705,2023-05-10
3046,AMANA BANK PLC,ABL.N0000,1,0.0,0.0,2.6,2.6,2.6,2.5,1683699583721,29/JAN/2014,155554.8,62198,20,7238268728.6,0.0,2.5,0.0,62198,20,0,2023-05-10 06:28:20.841705,2023-05-10
2145,AMBEON CAPITAL PLC,TAP.N0000,10,1.0526315789473684,0.1,9.6,9.5,9.7,9.4,1683699763763,17/MAY/2012,2245866.8,236394,36,9525885742.5,0.0,9.4,0.0,236394,36,3,2023-05-10 06:28:20.841705,2023-05-10
160,ASIA CAPITAL PLC,ACAP.N0000,4,5.555555555555555,0.2,3.8,3.6,3.8,3.7,1683699892204,22/SEP/1994,24200.4,6408,15,472787982.0,0.0,3.7,0.0,6408,15,0,2023-05-10 06:28:20.841705,2023-05-10
2209,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,10000,2.5641025641025643,0.1,4.0,3.9,4.0,3.9,1683698377416,12/SEP/2012,243842.2,61000,9,1014000000.0,0.0,3.9,0.0,61000,9,2,2023-05-10 06:28:20.841705,2023-05-10
143,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,2480,0.0,0.0,39.0,39.0,41.8,39.0,1683695736922,30/JAN/2004,292877.2,7509,9,17268236700.0,0.0,39.0,0.0,7509,9,0,2023-05-10 06:28:20.841705,2023-05-10
240,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,8,0.0,0.0,12.2,12.2,12.2,12.2,1683695820216,12/NOV/2004,13969.0,1145,4,6447182049.0,0.0,12.2,0.0,1145,4,0,2023-05-10 06:28:20.841705,2023-05-10
225,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,100,-0.8620689655172413,-0.2,23.0,23.2,23.7,23.0,1683699097450,01/JUN/1986,513898.2,22262,62,26390779427.2,0.0,23.2,0.0,22262,62,0,2023-05-10 06:28:20.841705,2023-05-10
1844,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,22,-5.333333333333333,-0.4,7.1,7.5,7.5,7.1,1683698160415,23/JUN/2011,7387.0,1040,7,849954510.0,0.0,7.5,0.0,1040,7,2,2023-05-10 06:28:20.841705,2023-05-10
3794,B P P L HOLDINGS PLC,BPPL.N0000,2,2.9411764705882355,0.6,21.0,20.4,21.0,21.0,1683697976012,04/APR/2017,3234.0,154,2,6259604482.8,0.0,21.0,0.0,154,2,2,2023-05-10 06:28:20.841705,2023-05-10
188,BAIRAHA FARMS PLC,BFL.N0000,20,0.18450184501845018,0.25,135.75,135.5,136.0,135.75,1683699985223,05/DEC/1994,1335172.5,9830,16,2384800000.0,0.0,136.0,0.0,9830,16,0,2023-05-10 06:28:20.841705,2023-05-10
193,BALANGODA  PLANTATIONS  PLC,BALA.N0000,2,1.8867924528301887,1.2,64.8,63.6,64.8,60.0,1683695873152,03/JUN/1998,120129.6,2002,5,3006545373.6,0.0,60.0,0.0,2002,5,0,2023-05-10 06:28:20.841705,2023-05-10
2188,BERUWALA RESORTS PLC,BERU.N0000,200,7.142857142857143,0.1,1.5,1.4,1.5,1.4,1683697554498,04/JUL/2012,22623.0,16145,4,840000000.0,0.0,1.4,0.0,16145,4,2,2023-05-10 06:28:20.841705,2023-05-10
135,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,2,14.285714285714286,0.1,0.8,0.7,0.8,0.7,1683697868805,31/MAR/1992,2080.0,2925,6,206221247.4,0.0,0.8,0.0,2925,6,0,2023-05-10 06:28:20.841705,2023-05-10
301,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,10000,33.333333333333336,0.1,0.4,0.3,0.4,0.3,1683700009336,31/MAR/1992,17970.0,50550,6,58390086.9,0.0,0.4,0.0,50550,6,0,2023-05-10 06:28:20.841705,2023-05-10
189,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,1,0.0,0.0,55.0,55.0,56.0,55.0,1683698653594,08/MAY/1992,143430.0,2606,6,5204809720.0,0.0,56.0,0.0,2606,6,2,2023-05-10 06:28:20.841705,2023-05-10
34,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,100,-4.6568627450980395,-1.9,38.9,40.8,40.0,38.9,1683695199286,08/DEC/1995,7890.0,200,2,3417000000.0,0.0,40.0,0.0,200,2,2,2023-05-10 06:28:20.841705,2023-05-10
25,BROWN & COMPANY PLC,BRWN.N0000,50,-0.22026431718061673,-0.25,113.25,113.5,113.25,109.0,1683696840935,25/APR/1991,911297.0,8327,61,24132937500.0,0.0,109.25,0.0,8327,61,2,2023-05-10 06:28:20.841705,2023-05-10
1851,BROWNS INVESTMENTS PLC,BIL.N0000,3,0.0,0.0,5.5,5.5,5.6,5.4,1683700070113,26/JUL/2011,15226324.4,2804623,300,79033446030.0,0.0,5.5,0.0,2804623,300,2,2023-05-10 06:28:20.841705,2023-05-10
165,BUKIT DARAH PLC,BUKI.N0000,17,-0.1375515818431912,-0.5,363.0,363.5,364.0,363.0,1683694503264,01/JAN/1970,9811.0,27,2,37077000000.0,0.0,364.0,0.0,27,2,0,2023-05-10 06:28:20.841705,2023-05-10
520,C T LAND DEVELOPMENT PLC,CTLD.N0000,584,-6.0,-1.5,23.5,25.0,23.5,23.5,1683692928610,22/MAR/1988,15674.5,667,3,2031250000.0,0.0,23.5,0.0,667,3,2,2023-05-10 06:28:20.841705,2023-05-10
335,C. W. MACKIE PLC,CWM.N0000,39,-0.40899795501022496,-0.4,97.4,97.8,97.4,95.0,1683697230179,09/JAN/1995,475314.6,4979,17,3519680776.8,0.0,97.4,0.0,4979,17,2,2023-05-10 06:28:20.841705,2023-05-10
5293,CAPITAL ALLIANCE PLC,CALT.N0000,2800,1.0273972602739727,0.3,29.5,29.2,29.5,28.2,1683699773149,15/DEC/2021,4169125.5,143739,64,9619002212.8,0.0,28.6,0.0,143739,64,2,2023-05-10 06:28:20.841705,2023-05-10
447,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,1000,1.5384615384615385,1.0,66.0,65.0,66.0,65.2,1683698824153,01/JAN/1969,100371.1,1526,8,14778040030.0,0.0,65.5,0.0,1526,8,0,2023-05-10 06:28:20.841705,2023-05-10
224,CENTRAL INDUSTRIES PLC,CIND.N0000,53,2.342786683107275,1.9,83.0,81.1,83.0,82.0,1683695318157,14/AUG/1990,223600.0,2700,3,1903132339.0,0.0,82.0,0.0,2700,3,0,2023-05-10 06:28:20.841705,2023-05-10
981,CEYLINCO INSURANCE PLC,CINS.X0000,2,-1.2682926829268293,-13.0,1012.0,1025.0,1012.0,1012.0,1683694360757,21/APR/1988,2024.0,2,1,6574842000.0,0.0,1012.0,0.0,2,1,0,2023-05-10 06:28:20.841705,2023-05-10
74,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,1230,-0.7050528789659224,-0.6,84.5,85.1,84.6,84.4,1683698404712,01/JAN/1984,907278.2,10737,15,5106000000.0,0.0,84.6,0.0,10737,15,0,2023-05-10 06:28:20.841705,2023-05-10
196,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,13,0.0,0.0,61.5,61.5,61.5,61.5,1683696440196,01/JAN/1951,97539.0,1586,4,5074849251.0,0.0,61.5,0.0,1586,4,0,2023-05-10 06:28:20.841705,2023-05-10
383,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,1,-0.5128205128205128,-0.1,19.4,19.5,19.9,19.4,1683696186659,01/JAN/1967,10734.3,552,4,3510603369.0,0.0,19.9,0.0,552,4,0,2023-05-10 06:28:20.841705,2023-05-10
133,CEYLON INVESTMENT PLC,CINV.N0000,2640,0.0,0.0,30.5,30.5,30.6,30.5,1683698032638,01/JAN/1949,80826.0,2650,2,3060508165.0,0.0,30.6,0.0,2650,2,0,2023-05-10 06:28:20.841705,2023-05-10
1522,CEYLON TEA BROKERS PLC,CTBL.N0000,1500,5.0,0.2,4.2,4.0,4.3,4.1,1683699129971,16/MAR/2010,275788.6,64513,22,729600000.0,0.0,4.2,0.0,64513,22,2,2023-05-10 06:28:20.841705,2023-05-10
381,CEYLON TOBACCO COMPANY PLC,CTC.N0000,3,1.4864864864864864,11.0,751.0,740.0,751.0,737.0,1683699754729,01/JAN/1955,91907.0,124,8,138619575740.0,0.0,740.0,0.0,124,8,0,2023-05-10 06:28:20.841705,2023-05-10
131,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,9,1.1494252873563218,1.0,88.0,87.0,89.9,87.9,1683699545203,14/OCT/1996,2543491.6,28885,40,20880000000.0,0.0,88.9,0.0,28885,40,0,2023-05-10 06:28:20.841705,2023-05-10
4966,CHRISSWORLD PLC,CWL.N0000,501,-1.0416666666666667,-0.1,9.5,9.6,9.9,9.5,1683699928570,18/MAY/2021,33753.1,3509,8,288000000.0,0.0,9.9,0.0,3509,8,5,2023-05-10 06:28:20.841705,2023-05-10
328,C I C HOLDINGS PLC,CIC.X0000,731,-0.8620689655172413,-0.4,46.0,46.4,46.5,45.9,1683698980743,11/OCT/1964,2086172.0,45332,27,4059072000.0,0.0,46.5,0.0,45332,27,0,2023-05-10 06:28:20.841705,2023-05-10
162,C I C HOLDINGS PLC,CIC.N0000,100,-0.31007751937984496,-0.2,64.3,64.5,64.7,64.3,1683699545313,11/OCT/1964,6116516.2,94924,19,18808200000.0,0.0,64.7,0.0,94924,19,0,2023-05-10 06:28:20.841705,2023-05-10
101,CITRUS LEISURE PLC,REEF.N0000,2000,0.0,0.0,5.7,5.7,5.8,5.7,1683698653011,01/JAN/1984,65744.3,11499,8,1523209421.1,0.0,5.7,0.0,11499,8,0,2023-05-10 06:28:20.841705,2023-05-10
44,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,10,-0.4192872117400419,-0.2,47.5,47.7,47.6,47.4,1683692986821,01/JAN/1949,14504.4,305,35,1214305578.0,0.0,47.6,0.0,305,35,0,2023-05-10 06:28:20.841705,2023-05-10
267,COLOMBO DOCKYARD PLC,DOCK.N0000,150,-0.46511627906976744,-0.3,64.2,64.5,64.4,64.2,1683694043461,01/JAN/1983,14910.8,232,2,4634900598.0,0.0,64.4,0.0,232,2,0,2023-05-10 06:28:20.841705,2023-05-10
