id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,100,0.7326007326007326,1.0,137.5,136.5,139.25,137.5,1683609581568,01/JAN/1984,69338.75,502,8,697591440.0,0.0,139.25,0.0,502,8,0,2023-05-09 08:27:28.329860,2023-05-09
1845,ABANS FINANCE PLC,AFSL.N0000,1,-1.4705882352941178,-0.3,20.1,20.4,22.6,20.1,1683610441622,27/JUN/2011,42.7,2,2,1503340688.4,0.0,22.6,0.0,2,2,3,2023-05-09 08:27:28.329860,2023-05-09
2065,ACCESS ENGINEERING PLC,AEL.N0000,1,0.7246376811594203,0.1,13.9,13.8,14.0,13.6,1683620769478,27/MAR/2012,4074199.3,297124,78,13800000000.0,0.0,14.0,0.0,297124,78,0,2023-05-09 08:27:28.329860,2023-05-09
472,ACL CABLES PLC,ACL.N0000,386,-0.2631578947368421,-0.2,75.8,76.0,77.2,75.5,1683620748902,01/JAN/1976,5365682.0,70522,121,18207678720.0,0.0,77.2,0.0,70522,121,0,2023-05-09 08:27:28.329860,2023-05-09
406,ACL PLASTICS PLC,APLA.N0000,1,0.5555555555555556,2.0,362.0,360.0,377.75,362.0,1683612922049,05/APR/1995,45661.0,126,9,1516500000.0,0.0,377.75,0.0,126,9,0,2023-05-09 08:27:28.329860,2023-05-09
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,89,-3.225806451612903,-0.2,6.0,6.2,6.0,5.9,1683618855690,01/JAN/1956,575.4,96,4,589000000.0,0.0,5.9,0.0,96,4,0,2023-05-09 08:27:28.329860,2023-05-09
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,1,0.3367003367003367,0.1,29.8,29.7,29.9,28.9,1683620613364,22/JAN/1996,3065169.5,105253,83,4640625000.0,0.0,29.9,0.0,105253,83,0,2023-05-09 08:27:28.329860,2023-05-09
2026,AGSTAR PLC,AGST.N0000,10000,1.7391304347826086,0.2,11.7,11.5,11.9,11.4,1683620775699,16/FEB/2012,6154589.4,525067,110,5304828847.5,0.0,11.5,0.0,525067,110,2,2023-05-09 08:27:28.329860,2023-05-09
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,990,1.7241379310344827,1.0,59.0,58.0,59.5,58.8,1683620526020,01/JAN/1980,15947973.0,268048,33,19504820580.0,0.0,58.8,0.0,268048,33,0,2023-05-09 08:27:28.329860,2023-05-09
343,AITKEN SPENCE PLC,SPEN.N0000,369,0.7751937984496124,1.0,130.0,129.0,132.0,129.0,1683620023024,01/JAN/1983,2853790.25,22106,12,52373489805.0,0.0,132.0,0.0,22106,12,0,2023-05-09 08:27:28.329860,2023-05-09
