Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change Percentage (%),Date
KEGALLE PLANTATIONS PLC,KGAL.N0000,10492,26,120.0,118.0,128.5,110.0,113.75,-6.25,-5.21,2022-04-12
KELANI CABLES PLC,KCAB.N0000,10352,46,219.25,220.0,220.0,195.5,206.75,-12.5,-5.7,2022-04-12
KELANI TYRES PLC,TYRE.N0000,6783,20,54.2,53.5,55.0,53.2,53.5,-0.7,-1.29,2022-04-12
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,30490,74,48.9,48.6,49.9,45.0,45.6,-3.3,-6.75,2022-04-12
KOTAGALA PLANTATIONS PLC,KOTA.N0000,99634,63,4.0,4.0,4.0,3.9,4.0,0.0,0.0,2022-04-12
KOTMALE HOLDINGS PLC,LAMB.N0000,37,4,380.25,395.75,395.75,395.75,380.25,0.0,0.0,2022-04-12
L O L C DEVELOPMENT FINANCE PLC,NIFL.N0000,15,4,156.0,158.0,158.0,158.0,156.0,0.0,0.0,2022-04-12
L O L C HOLDINGS PLC,LOLC.N0000,162273,444,398.75,404.0,425.0,381.0,395.5,-3.25,-0.82,2022-04-12
L V L ENERGY FUND PLC,LVEF.N0000,1129,3,8.6,8.6,8.6,8.5,8.5,-0.1,-1.16,2022-04-12
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,20713,27,15.7,15.6,16.0,15.0,15.8,0.1,0.64,2022-04-12
LANKA CERAMIC PLC,CERA.N0000,254,6,120.5,100.0,125.0,100.0,108.25,-12.25,-10.17,2022-04-12
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,28194,14,2.0,2.0,2.1,1.9,2.1,0.1,5.0,2022-04-12
LANKA IOC PLC,LIOC.N0000,101673,119,27.5,28.5,28.9,27.4,28.1,0.6,2.18,2022-04-12
LANKA MILK FOODS (CWE) PLC,LMF.N0000,24504,44,121.75,130.0,130.0,121.0,121.75,0.0,0.0,2022-04-12
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,187051,110,15.0,13.0,14.0,13.0,13.3,-1.7,-11.33,2022-04-12
LANKA TILES PLC,TILE.N0000,92109,66,46.8,46.8,50.0,45.0,47.0,0.2,0.43,2022-04-12
LANKA WALLTILE PLC,LWL.N0000,163320,124,58.5,58.0,59.9,54.0,57.1,-1.4,-2.39,2022-04-12
LANKEM CEYLON PLC,LCEY.N0000,100,1,30.0,28.0,28.0,28.0,28.0,-2.0,-6.67,2022-04-12
LANKEM DEVELOPMENTS PLC,LDEV.N0000,27317,13,3.7,3.6,3.8,3.6,3.8,0.1,2.7,2022-04-12
LAUGFS GAS PLC,LGL.X0000,290,3,11.3,11.9,11.9,11.8,11.8,0.5,4.42,2022-04-12
LAUGFS GAS PLC,LGL.N0000,3010,6,21.0,19.0,20.8,19.0,20.5,-0.5,-2.38,2022-04-12
LAUGFS POWER PLC,LPL.X0000,8000,4,8.0,8.0,8.0,8.0,8.0,0.0,0.0,2022-04-12
LAUGFS POWER PLC,LPL.N0000,3000,2,10.4,10.3,10.3,10.3,10.3,-0.1,-0.96,2022-04-12
LAXAPANA BATTERIES PLC,LITE.N0000,60952,20,14.2,15.6,15.6,14.0,14.0,-0.2,-1.41,2022-04-12
LB FINANCE PLC,LFIN.N0000,12553,60,58.5,58.0,58.0,56.0,57.0,-1.5,-2.56,2022-04-12
LOLC FINANCE PLC,LOFC.N0000,5707626,1106,8.1,8.0,8.4,7.4,7.9,-0.2,-2.47,2022-04-12
LOLC GENERAL INSURANCE PLC,LGIL.N0000,126171,56,6.8,6.8,6.8,6.2,6.3,-0.5,-7.35,2022-04-12
LOTUS HYDRO POWER PLC,HPFL.N0000,23103,13,8.4,8.9,9.0,8.8,8.9,0.5,5.95,2022-04-12
MACKWOODS ENERGY PLC,MEL.N0000,27230,22,1.9,1.8,1.9,1.7,1.8,-0.1,-5.26,2022-04-12
MADULSIMA PLANTATIONS PLC,MADU.N0000,240,3,9.4,9.2,9.6,9.2,9.6,0.2,2.13,2022-04-12
