Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change Percentage (%),Date
BROWNS INVESTMENTS PLC,BIL.N0000,16206121,928,6.0,5.9,6.4,5.8,6.1,0.1,1.67,2022-04-12
BUKIT DARAH PLC,BUKI.N0000,200,3,365.0,345.0,370.0,340.25,370.0,5.0,1.37,2022-04-12
C I C HOLDINGS PLC,CIC.X0000,109376,84,20.8,23.4,23.4,20.0,20.6,-0.2,-0.96,2022-04-12
C I C HOLDINGS PLC,CIC.N0000,7380,12,34.5,38.0,38.0,34.1,35.3,0.8,2.32,2022-04-12
C M HOLDINGS PLC,COLO.N0000,676,8,69.9,69.9,69.9,67.0,68.0,-1.9,-2.72,2022-04-12
C T HOLDINGS PLC,CTHR.N0000,1661,3,155.0,155.0,155.0,155.0,155.0,0.0,0.0,2022-04-12
C. W. MACKIE PLC,CWM.N0000,9071,7,55.4,55.4,55.4,54.9,55.0,-0.4,-0.72,2022-04-12
CAPITAL ALLIANCE PLC,CALT.N0000,44500,11,9.6,9.6,9.6,9.5,9.6,0.0,0.0,2022-04-12
CARGILLS (CEYLON) PLC,CARG.N0000,701,10,190.0,195.25,195.25,172.0,173.5,-16.5,-8.68,2022-04-12
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,124,3,50.4,50.0,50.0,50.0,50.0,-0.4,-0.79,2022-04-12
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,52634,86,65.7,65.0,65.0,60.0,61.2,-4.5,-6.85,2022-04-12
CENTRAL INDUSTRIES PLC,CIND.N0000,8385,42,76.2,79.0,79.0,75.5,76.1,-0.1,-0.13,2022-04-12
CEYLINCO INSURANCE PLC,CINS.X0000,319,18,1190.5,1006.0,1006.0,1000.0,1001.5,-189.0,-15.88,2022-04-12
CEYLON COLD STORES PLC,CCS.N0000,120688,51,34.8,37.1,37.1,34.0,34.9,0.1,0.29,2022-04-12
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,143457,74,65.0,65.0,65.0,58.0,65.0,0.0,0.0,2022-04-12
CEYLON HOSPITALS PLC,CHL.N0000,3153,6,107.25,115.5,115.5,106.0,107.25,0.0,0.0,2022-04-12
CEYLON HOSPITALS PLC,CHL.X0000,5086,7,88.0,87.6,100.0,87.5,87.5,-0.5,-0.57,2022-04-12
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,238662,9,9.1,9.1,9.1,8.4,9.0,-0.1,-1.1,2022-04-12
CEYLON INVESTMENT PLC,CINV.N0000,4719,15,35.8,33.1,33.2,33.1,33.2,-2.6,-7.26,2022-04-12
CEYLON TEA BROKERS PLC,CTBL.N0000,142,4,3.2,3.2,3.2,3.2,3.2,0.0,0.0,2022-04-12
CEYLON TOBACCO COMPANY PLC,CTC.N0000,6419,39,650.5,680.0,680.0,650.0,668.0,17.5,2.69,2022-04-12
CHEMANEX PLC,CHMX.N0000,1030,3,60.0,60.0,65.0,60.0,60.0,0.0,0.0,2022-04-12
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,371021,323,80.1,81.0,81.0,77.0,79.1,-1.0,-1.25,2022-04-12
CHRISSWORLD PLC,CWL.N0000,18158,17,14.5,14.5,14.5,12.0,13.0,-1.5,-10.34,2022-04-12
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,1762,6,77.1,83.3,83.3,77.0,77.0,-0.1,-0.13,2022-04-12
CITRUS LEISURE PLC,REEF.N0000,81992,45,5.5,5.2,5.6,5.0,5.5,0.0,0.0,2022-04-12
Co-operative Insurance Company PLC,COOP.N0000,459083,73,2.8,3.0,3.0,2.8,2.8,0.0,0.0,2022-04-12
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,57,4,970.0,810.0,820.0,810.0,970.0,0.0,0.0,2022-04-12
COLOMBO DOCKYARD PLC,DOCK.N0000,1215,9,71.2,74.0,76.5,71.0,74.7,3.5,4.92,2022-04-12
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,164,9,52.8,52.7,57.0,52.7,53.6,0.8,1.52,2022-04-12
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,355,9,25.7,22.6,24.7,22.6,23.6,-2.1,-8.17,2022-04-12
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,52131,78,56.1,58.5,58.5,55.0,56.0,-0.1,-0.18,2022-04-12
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,244302,295,59.8,59.6,59.9,55.0,57.3,-2.5,-4.18,2022-04-12
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,7500,16,20.2,23.5,24.0,21.0,21.4,1.2,5.94,2022-04-12
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,922,12,105.0,97.0,114.0,97.0,109.25,4.25,4.05,2022-04-12
DANKOTUWA PORCELAIN PLC,DPL.N0000,19552,20,9.2,8.8,9.4,8.5,8.6,-0.6,-6.52,2022-04-12
DFCC BANK PLC,DFCC.N0000,12230,39,48.0,47.5,50.0,47.0,47.6,-0.4,-0.83,2022-04-12
DIALOG AXIATA PLC,DIAL.N0000,761062,155,9.6,9.5,9.6,9.4,9.6,0.0,0.0,2022-04-12
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,1475,35,454.25,450.25,450.25,400.0,445.5,-8.75,-1.93,2022-04-12
DIPPED PRODUCTS PLC,DIPD.N0000,344448,263,30.2,30.0,31.4,28.0,30.0,-0.2,-0.66,2022-04-12
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,210157,60,14.2,14.0,14.2,13.5,13.6,-0.6,-4.23,2022-04-12
DOLPHIN HOTELS PLC,STAF.N0000,29212,7,28.5,27.4,27.4,26.4,26.5,-2.0,-7.02,2022-04-12
E - CHANNELLING PLC,ECL.N0000,14270,29,7.0,7.4,7.4,6.0,6.5,-0.5,-7.14,2022-04-12
E B CREASY & COMPANY PLC,EBCR.N0000,6495,12,17.1,17.1,17.1,16.3,16.3,-0.8,-4.68,2022-04-12
