Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change Percentage (%),Date
RENUKA HOTELS PLC,RCH.N0000,100,1,75.0,78.0,78.0,78.0,78.0,3.0,4.0,2023-03-10
RESUS ENERGY PLC,HPWR.N0000,147,1,13.8,13.8,13.8,13.8,13.8,0.0,0.0,2023-03-10
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,1000,1,23.0,23.0,23.0,23.0,23.0,0.0,0.0,2023-03-10
ROYAL CERAMICS LANKA PLC,RCL.N0000,535233,99,34.3,34.6,35.1,34.6,35.0,0.7,2.04,2023-03-10
SAMPATH BANK PLC,SAMP.N0000,35779,34,56.4,55.5,55.5,54.6,54.8,-1.6,-2.84,2023-03-10
SANASA DEVELOPMENT BANK PLC,SDB.N0000,2500,2,30.0,30.0,30.0,30.0,30.0,0.0,0.0,2023-03-10
SATHOSA MOTORS PLC,SMOT.N0000,1,1,140.0,140.0,140.0,140.0,140.0,0.0,0.0,2023-03-10
SERENDIB HOTELS PLC,SHOT.X0000,3975,4,6.3,6.5,6.6,6.5,6.6,0.3,4.76,2023-03-10
SEYLAN BANK PLC,SEYB.N0000,145,1,37.7,37.7,37.7,37.7,37.7,0.0,0.0,2023-03-10
SIERRA CABLES PLC,SIRA.N0000,851,2,12.4,12.3,12.3,11.9,11.9,-0.5,-4.03,2023-03-10
SINGER (SRI LANKA) PLC,SINS.N0000,400,1,13.0,13.1,13.1,13.1,13.1,0.1,0.77,2023-03-10
SINGER FINANCE LANKA PLC,SFIN.N0000,4000,1,11.5,11.5,11.5,11.5,11.5,0.0,0.0,2023-03-10
SMB FINANCE PLC,SEMB.N0000,8,1,0.8,0.9,0.9,0.9,0.9,0.1,12.5,2023-03-10
SMB FINANCE PLC,SEMB.X0000,33462,2,0.3,0.4,0.4,0.3,0.3,0.0,0.0,2023-03-10
SOFTLOGIC CAPITAL PLC,SCAP.N0000,608913,79,11.6,12.3,12.4,12.0,12.1,0.5,4.31,2023-03-10
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,13046,31,90.4,93.5,94.7,93.5,94.2,3.8,4.2,2023-03-10
SRI LANKA TELECOM PLC,SLTL.N0000,2660,3,82.4,82.5,82.5,82.5,82.5,0.1,0.12,2023-03-10
SUNSHINE HOLDINGS PLC,SUN.N0000,17090,5,45.5,44.5,44.6,44.5,44.5,-1.0,-2.2,2023-03-10
SWISSTEK (CEYLON) PLC,PARQ.N0000,36328,4,16.4,16.5,16.5,16.5,16.5,0.1,0.61,2023-03-10
TAL LANKA HOTELS PLC,TAJ.N0000,100,1,16.0,16.0,16.0,16.0,16.0,0.0,0.0,2023-03-10
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,22740,21,41.4,51.9,51.9,51.0,51.5,10.1,24.4,2023-03-10
TEEJAY LANKA PLC,TJL.N0000,850,3,33.6,33.5,33.5,33.5,33.5,-0.1,-0.3,2023-03-10
TESS AGRO PLC,TESS.X0000,1,1,0.8,0.9,0.9,0.9,0.9,0.1,12.5,2023-03-10
THE KINGSBURY PLC,SERV.N0000,448,1,9.8,9.7,9.7,9.7,9.7,-0.1,-1.02,2023-03-10
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,5,1,105.0,107.75,107.75,107.75,107.75,2.75,2.62,2023-03-10
THREE ACRE FARMS PLC,TAFL.N0000,10,2,135.0,135.25,140.75,135.25,140.75,5.75,4.26,2023-03-10
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,115,2,40.0,40.5,40.5,40.5,40.5,0.5,1.25,2023-03-10
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,435,1,45.0,45.9,45.9,45.9,45.9,0.9,2.0,2023-03-10
UNION BANK OF COLOMBO PLC,UBC.N0000,180,1,9.5,9.6,9.6,9.6,9.6,0.1,1.05,2023-03-10
UNION CHEMICALS LANKA PLC,UCAR.N0000,1,1,581.25,645.0,645.0,645.0,645.0,63.75,10.97,2023-03-10
UNITED MOTORS LANKA PLC,UML.N0000,1,1,64.3,64.3,64.3,64.3,64.3,0.0,0.0,2023-03-10
VALLIBEL FINANCE PLC,VFIN.N0000,28845,8,35.2,34.5,34.5,34.0,34.0,-1.2,-3.41,2023-03-10
VALLIBEL ONE PLC,VONE.N0000,57750,23,43.1,43.6,43.9,43.5,43.6,0.5,1.16,2023-03-10
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,182,1,6.8,6.8,6.8,6.8,6.8,0.0,0.0,2023-03-10
VIDULLANKA PLC,VLL.N0000,5001,1,6.1,5.9,5.9,5.9,5.9,-0.2,-3.28,2023-03-10
WATAWALA PLANTATIONS PLC,WATA.N0000,8504,4,72.0,72.3,72.3,72.0,72.0,0.0,0.0,2023-03-10
WINDFORCE PLC,WIND.N0000,1201,3,16.0,16.0,16.1,16.0,16.0,0.0,0.0,2023-03-10
